block,N,list_letter,condsFile
1,1,i,lists/1i.csv
1,2,d,lists/2d.csv
1,3,i,lists/3i.csv
1,4,c,lists/4c.csv
1,5,f,lists/5f.csv
2,1,b,lists/1b.csv
2,2,h,lists/2h.csv
2,3,g,lists/3g.csv
2,4,j,lists/4j.csv
2,5,c,lists/5c.csv
3,1,c,lists/1c.csv
3,2,a,lists/2a.csv
3,3,d,lists/3d.csv
3,4,d,lists/4d.csv
3,5,b,lists/5b.csv
4,1,f,lists/1f.csv
4,2,e,lists/2e.csv
4,3,b,lists/3b.csv
4,4,e,lists/4e.csv
4,5,d,lists/5d.csv
5,1,d,lists/1d.csv
5,2,f,lists/2f.csv
5,3,f,lists/3f.csv
5,4,b,lists/4b.csv
5,5,g,lists/5g.csv
6,1,h,lists/1h.csv
6,2,b,lists/2b.csv
6,3,h,lists/3h.csv
6,4,g,lists/4g.csv
6,5,i,lists/5i.csv
7,1,g,lists/1g.csv
7,2,i,lists/2i.csv
7,3,e,lists/3e.csv
7,4,a,lists/4a.csv
7,5,j,lists/5j.csv
8,1,e,lists/1e.csv
8,2,c,lists/2c.csv
8,3,c,lists/3c.csv
8,4,i,lists/4i.csv
8,5,a,lists/5a.csv
9,1,j,lists/1j.csv
9,2,g,lists/2g.csv
9,3,j,lists/3j.csv
9,4,h,lists/4h.csv
9,5,h,lists/5h.csv
10,1,a,lists/1a.csv
10,2,j,lists/2j.csv
10,3,a,lists/3a.csv
10,4,f,lists/4f.csv
10,5,e,lists/5e.csv
